epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30935,1.62305,4.84318,1.01461,1,0.21847,0.28028,0.23073,1.40752,3.28707,0.921,0.000467346,0.000467346,0.000467346
2,11.4347,1.49083,3.85745,0.97368,0.9627,0.25253,0.41678,0.30962,1.47493,2.87006,0.97214,0.000912538,0.000912538,0.000912538
3,15.6463,1.58672,3.57637,1.01083,0.74982,0.59417,0.64945,0.3849,1.54445,1.98014,1.01707,0.00132629,0.00132629,0.00132629
4,19.8491,1.5747,3.23906,0.99034,0.73928,0.61799,0.67117,0.40399,1.42067,1.6784,0.9957,0.00128753,0.00128753,0.00128753
5,23.8663,1.54158,3.14642,1.00557,0.77654,0.64229,0.69797,0.43104,1.34912,1.58191,0.98431,0.00124037,0.00124037,0.00124037
6,27.8305,1.48418,2.81216,0.97415,0.78595,0.63097,0.6826,0.43085,1.34455,1.53965,0.96863,0.00119322,0.00119322,0.00119322
7,31.7896,1.53426,2.76387,1.00975,0.79271,0.63386,0.70283,0.43128,1.35607,1.4995,0.97257,0.00114606,0.00114606,0.00114606
8,35.7295,1.43586,2.55268,0.95936,0.79688,0.62688,0.6913,0.43483,1.35394,1.45385,0.9617,0.0010989,0.0010989,0.0010989
9,39.7493,1.40315,2.29708,0.94736,0.81434,0.65886,0.72955,0.46571,1.29263,1.33667,0.94557,0.00105174,0.00105174,0.00105174
10,43.7361,1.41738,2.35431,0.96942,0.77529,0.65622,0.73213,0.46954,1.30734,1.38361,0.95042,0.00100459,0.00100459,0.00100459
11,47.6782,1.33642,2.19437,0.95211,0.81311,0.67617,0.73553,0.47571,1.30011,1.30823,0.94957,0.00095743,0.00095743,0.00095743
12,51.6142,1.32838,2.16325,0.9489,0.78946,0.65184,0.7144,0.46768,1.28908,1.34245,0.94692,0.000910273,0.000910273,0.000910273
13,55.5223,1.32359,2.04876,0.93349,0.78804,0.67974,0.73522,0.46985,1.26576,1.26496,0.94287,0.000863116,0.000863116,0.000863116
14,59.5156,1.33367,1.99097,0.93376,0.76438,0.71873,0.75508,0.48032,1.2602,1.24863,0.94768,0.000815959,0.000815959,0.000815959
15,63.6714,1.33412,1.93876,0.94157,0.76803,0.68242,0.74315,0.47817,1.28656,1.25748,0.94253,0.000768802,0.000768802,0.000768802
16,67.5465,1.30001,1.86809,0.93164,0.81828,0.72279,0.77476,0.49929,1.25732,1.22741,0.934,0.000721645,0.000721645,0.000721645
17,71.4547,1.34806,1.8896,0.93581,0.80505,0.73359,0.77566,0.50538,1.25283,1.20932,0.93423,0.000674488,0.000674488,0.000674488
18,75.2848,1.25749,1.81006,0.92077,0.85477,0.68963,0.78086,0.50579,1.22376,1.20059,0.93106,0.000627331,0.000627331,0.000627331
19,79.1932,1.27141,1.77018,0.91701,0.81766,0.73939,0.79348,0.50953,1.22856,1.18043,0.93123,0.000580174,0.000580174,0.000580174
20,83.1028,1.28939,1.77792,0.91725,0.85409,0.71013,0.79771,0.50741,1.23543,1.16307,0.9288,0.000533017,0.000533017,0.000533017
21,87.916,1.28479,2.4653,0.90851,0.82495,0.70551,0.7676,0.49109,1.26436,1.1784,0.92703,0.00048586,0.00048586,0.00048586
22,91.7555,1.2908,2.36564,0.92911,0.81222,0.70207,0.76798,0.49152,1.26844,1.1752,0.93319,0.000438703,0.000438703,0.000438703
23,95.6269,1.24881,2.27164,0.9308,0.80033,0.71775,0.77456,0.4912,1.24539,1.13324,0.93131,0.000391546,0.000391546,0.000391546
24,99.5057,1.23382,2.2422,0.91197,0.83139,0.70583,0.76741,0.49333,1.22623,1.10143,0.92417,0.000344389,0.000344389,0.000344389
25,103.285,1.27065,2.19094,0.93253,0.85739,0.71399,0.78847,0.50968,1.21199,1.0823,0.92555,0.000297232,0.000297232,0.000297232
26,107.063,1.22891,2.1388,0.91503,0.84562,0.73305,0.80044,0.50414,1.20693,1.0592,0.92541,0.000250075,0.000250075,0.000250075
27,110.958,1.26476,2.17928,0.91235,0.82869,0.72628,0.79233,0.50034,1.20532,1.05198,0.92344,0.000202918,0.000202918,0.000202918
28,114.848,1.21009,2.10658,0.91566,0.82125,0.73463,0.79738,0.50518,1.2054,1.0545,0.92096,0.000155761,0.000155761,0.000155761
29,118.673,1.22994,2.08177,0.91015,0.79933,0.76368,0.79106,0.50794,1.19624,1.06007,0.91815,0.000108604,0.000108604,0.000108604
30,122.577,1.22014,2.12692,0.91138,0.79919,0.75791,0.79145,0.51105,1.19617,1.05906,0.91989,6.1447e-05,6.1447e-05,6.1447e-05
