epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6133,1.67547,5.07023,1.03493,0.02637,0.29485,0.2727,0.23274,1.37099,3.57645,0.91463,0.00037154,0.00037154,0.00037154
2,14.1626,1.46743,3.37047,0.97217,0.02508,0.27465,0.24542,0.20139,1.31649,3.50506,0.91362,0.000752371,0.000752371,0.000752371
3,17.6386,1.53443,3.03467,0.98193,0.09501,0.57617,0.41176,0.28027,1.44483,3.19095,0.94683,0.00112811,0.00112811,0.00112811
4,20.9804,1.56346,2.98556,1.02251,0.71643,0.44701,0.5431,0.33074,1.59979,2.2523,1.00316,0.00140071,0.00140071,0.00140071
5,24.2875,1.56283,2.76277,0.99652,0.67184,0.59929,0.636,0.40569,1.4716,1.78226,0.97891,0.00139127,0.00139127,0.00139127
6,27.5577,1.48258,2.74246,0.98588,0.752,0.64813,0.68034,0.41495,1.45857,1.59855,0.98321,0.00138184,0.00138184,0.00138184
7,30.8551,1.45453,2.50228,0.96553,0.44516,0.61968,0.53916,0.35071,1.3735,1.82693,0.95933,0.00137241,0.00137241,0.00137241
8,34.1207,1.44137,2.43818,0.96655,0.74354,0.65934,0.71073,0.44646,1.3387,1.27809,0.94709,0.00136298,0.00136298,0.00136298
9,37.381,1.37931,2.2675,0.94533,0.7757,0.63242,0.70759,0.4364,1.33078,1.31769,0.94277,0.00135355,0.00135355,0.00135355
10,40.6707,1.43494,2.13799,0.94838,0.74573,0.7055,0.7273,0.45573,1.30604,1.2277,0.93676,0.00134412,0.00134412,0.00134412
11,44.1627,1.36852,2.2179,0.94933,0.75127,0.67232,0.71962,0.44906,1.31227,1.22693,0.93556,0.00133469,0.00133469,0.00133469
12,47.4232,1.35281,2.02051,0.93812,0.79374,0.67637,0.7339,0.46266,1.29181,1.20782,0.92884,0.00132525,0.00132525,0.00132525
13,50.7641,1.39534,1.9093,0.9365,0.78724,0.65478,0.71633,0.44454,1.30045,1.19495,0.93227,0.00131582,0.00131582,0.00131582
14,54.0367,1.40341,1.90209,0.94663,0.81608,0.68989,0.74039,0.45772,1.30638,1.16118,0.93467,0.00130639,0.00130639,0.00130639
15,57.2581,1.2965,1.79773,0.91289,0.78271,0.71968,0.76243,0.46413,1.28403,1.13413,0.92614,0.00129696,0.00129696,0.00129696
16,60.5108,1.32933,1.74676,0.93311,0.78515,0.70429,0.75512,0.46436,1.30508,1.13373,0.94531,0.00128753,0.00128753,0.00128753
17,63.7529,1.32197,1.72301,0.93209,0.78402,0.71067,0.75353,0.48063,1.30234,1.14201,0.93912,0.0012781,0.0012781,0.0012781
18,66.991,1.32322,1.70488,0.93024,0.81749,0.71055,0.77463,0.48473,1.27984,1.07126,0.92812,0.00126867,0.00126867,0.00126867
19,70.211,1.32142,1.70613,0.92737,0.77893,0.72745,0.76455,0.4829,1.25374,1.03992,0.923,0.00125923,0.00125923,0.00125923
20,73.4139,1.37487,1.70467,0.95215,0.84676,0.65584,0.75992,0.4796,1.31213,1.00091,0.93819,0.0012498,0.0012498,0.0012498
21,76.6492,1.37534,1.58792,0.92678,0.78566,0.71824,0.75725,0.48499,1.26734,0.91566,0.93181,0.00124037,0.00124037,0.00124037
